sprinkle,group,assert_fn,class,arg_len,arg_classes,arg_choices,arg_several.ok,default
bg,simple,assertCharacter,character,1,,,,
bg_pattern,bg_pattern,assertCharacter,character,,,,,"c(""#FFFFFF"", ""#DDDDDD"")"
bg_pattern_by,bg_pattern,matchArg,character,,,"c(""rows"", ""cols"", ""columns"")",,
bold,simple,assertLogical,logical,1,,,,
bookdown,option,assertLogical,logical,1,,,,
border,border,matchArg,character,,,"c(""all"", ""bottom"", ""left"", ""top"", ""right"")",TRUE,all
border_thickness,border,assertNumeric,numeric,1,,,,1
border_units,border,matchArg,character,,,"c(""px"", ""pt"")",,px
border_style,border,matchArg,character,,,"c(""solid"", ""dashed"", ""dotted"", ""double"", ""groove"", ""ridge"", ""inset"", ""outset"", ""hidden"", ""none"")",,solid
border_color,border,assertCharacter,,1,,,,Black
border_collapse,option,assertLogical,,1,,,,
caption,option,assertCharacter,,1,,,,
discrete,discrete,matchArg,character,,,"c(""bg"", ""font"", ""font_color"", ""border"", ""left_border"", ""top_border"", ""right_border"", ""bottom_border"")",TRUE,bg
discrete_colors,discrete,assertCharacter,,,,,,"getOption("pixiedust_discrete_pal", NULL)"
float,option,assertLogical,,1,,,,
fn,simple,assertClass,,,call,,,
font_family,simple,assertCharacter,,1,,,,
font_color,simple,assertCharacter,,1,,,,
font_size,font_size,assertNumeric,,1,,,,
font_size_units,font_size,matchArg,,,,"c(""px"", ""pt"", ""%"", ""em"")",,pt
gradient,gradient,matchArg,character,,,"c(""bg"", ""font"", ""font_color"", ""border"", ""left_border"", ""top_border"", ""right_border"", ""bottom_border"")",TRUE,bg
gradient_colors,gradient,assertCharacter,,,,,,"getOption("pixiedust_gradient_pal", 10)"
gradient_cut,gradient,assertNumeric,,,,,,
gradient_n,gradient,assertNumeric,,1,,,,10
gradient_na,gradient,assertCharacter,,1,,,,"grey"
halign,simple,matchArg,,,,"c(""left"", ""center"", ""right"")",,
height,height,assertNumeric,,1,,,,
height_units,height,matchArg,,,,"c(""px"", ""pt"", ""cm"", ""in"", ""%"")",,pt
hhline,option,assertLogical,,1,,,,
italic,simple,assertLogical,,1,,,,
justify,option,matchArg,character,,,"c(""center"", ""left"", ""right"")",,"""center"""
label,option,assertCharacter,,1,,,,
longtable,option,assertLogical,,1,,,,
merge,merge,assertLogical,,1,,,,
merge_rowval,merge,assertNumeric,,1,,,,
merge_colval,merge,assertNumeric,,1,,,,
na_string,simple,assertCharacter,,1,,,,
pad,simple,assertNumeric,,1,,,,
replace,simple,assertVector,,,,,,
rotate_degree,simple,assertNumeric,,1,,,,
round,simple,assertNumeric,,1,,,,
sanitize,simple,assertLogical,,1,,,,
sanitize_args,simple,assertClass,,,list,,,
tabcolsep,option,assertNumeric,,1,,,,
valign,simple,matchArg,,,,"c(""top"", ""middle"", ""bottom"")",,
width,width,assertNumeric,,1,,,,
width_units,width,matchArg,,,,"c(""px"", ""pt"", ""cm"", ""in"", ""%"")",,pt
